Episode,Step,Action_Routed,Portfolio_Value,Reward,Epsilon
53,150,BTC: Buy BINANCE -> Sell COINBASE,308207.11,-0.1000,0.9845
53,200,BTC: Buy BINANCE -> Sell COINBASE,310292.18,4.2983,0.9845
54,50,BTC: Buy BINANCE -> Sell COINBASE,306692.92,-0.2463,0.9842
54,100,BNB: Buy BINANCE -> Sell KRAKEN,307819.68,-1.5395,0.9842
54,150,BTC: Buy COINBASE -> Sell BINANCE,306560.93,-0.9162,0.9842
54,200,BTC: Buy BINANCE -> Sell COINBASE,307948.10,6.2367,0.9842
55,50,WAIT (Holding Capital),307400.55,-0.0100,0.9839
55,100,BTC: Buy KRAKEN -> Sell BINANCE,309385.37,-1.0561,0.9839
55,150,BTC: Buy COINBASE -> Sell KRAKEN,307120.44,-0.2569,0.9839
55,200,BNB: Buy KRAKEN -> Sell BINANCE,308972.30,-1.5107,0.9839
56,50,BNB: Buy KRAKEN -> Sell BINANCE,307850.08,0.1094,0.9836
56,100,BNB: Buy BINANCE -> Sell KRAKEN,309744.88,-1.2543,0.9836
56,150,BNB: Buy COINBASE -> Sell KRAKEN,308494.35,-2.0000,0.9836
56,200,BNB: Buy BINANCE -> Sell COINBASE,309630.12,-1.0716,0.9836
57,50,BNB: Buy KRAKEN -> Sell COINBASE,307126.00,-0.7757,0.9833
57,100,ETH: Buy COINBASE -> Sell BINANCE,309414.37,8.0907,0.9833
57,150,BNB: Buy KRAKEN -> Sell BINANCE,307646.43,-1.5937,0.9833
57,200,ETH: Buy BINANCE -> Sell COINBASE,308784.57,2.7983,0.9833
58,50,BNB: Buy KRAKEN -> Sell BINANCE,306657.34,0.2855,0.9830
58,100,BNB: Buy COINBASE -> Sell KRAKEN,308421.29,-0.3049,0.9830
58,150,BTC: Buy COINBASE -> Sell KRAKEN,306304.74,0.3341,0.9830
58,200,ETH: Buy COINBASE -> Sell BINANCE,307815.35,-0.8299,0.9830
59,50,BNB: Buy KRAKEN -> Sell COINBASE,307434.87,-0.4218,0.9827
59,100,ETH: Buy KRAKEN -> Sell BINANCE,309006.54,5.5487,0.9827
59,150,BNB: Buy COINBASE -> Sell KRAKEN,307196.59,-2.0000,0.9827
59,200,BTC: Buy BINANCE -> Sell COINBASE,308176.75,2.6084,0.9827
60,50,BNB: Buy COINBASE -> Sell BINANCE,307839.06,-0.8237,0.9825
60,100,BNB: Buy BINANCE -> Sell COINBASE,309060.23,1.5772,0.9825
60,150,ETH: Buy BINANCE -> Sell COINBASE,306914.42,-2.0000,0.9825
60,200,ETH: Buy BINANCE -> Sell COINBASE,308341.75,-1.6993,0.9825
61,50,WAIT (Holding Capital),307408.86,-0.0100,0.9822
61,100,ETH: Buy BINANCE -> Sell KRAKEN,308762.37,1.1792,0.9822
61,150,ETH: Buy KRAKEN -> Sell BINANCE,307492.12,-1.1116,0.9822
61,200,BTC: Buy BINANCE -> Sell COINBASE,309389.70,3.3215,0.9822
62,50,BNB: Buy KRAKEN -> Sell BINANCE,307351.94,-0.1429,0.9819
62,100,ETH: Buy KRAKEN -> Sell COINBASE,308876.62,0.2564,0.9819
62,150,ETH: Buy COINBASE -> Sell KRAKEN,307033.12,-0.5616,0.9819
62,200,BNB: Buy COINBASE -> Sell KRAKEN,308306.28,-2.0000,0.9819
63,50,BTC: Buy KRAKEN -> Sell COINBASE,307604.63,0.3952,0.9816
63,100,ETH: Buy KRAKEN -> Sell COINBASE,309538.80,0.3493,0.9816
63,150,BTC: Buy KRAKEN -> Sell COINBASE,307445.23,0.2918,0.9816
63,200,WAIT (Holding Capital),309345.01,-0.0100,0.9816
64,50,BNB: Buy COINBASE -> Sell KRAKEN,307025.45,-0.5786,0.9813
64,100,ETH: Buy COINBASE -> Sell BINANCE,308942.83,11.0252,0.9813
64,150,ETH: Buy KRAKEN -> Sell BINANCE,307501.87,0.3131,0.9813
64,200,BTC: Buy COINBASE -> Sell KRAKEN,309242.45,-2.0000,0.9813
65,50,BNB: Buy BINANCE -> Sell COINBASE,307381.96,-0.4229,0.9810
65,100,ETH: Buy KRAKEN -> Sell COINBASE,308209.12,-1.2035,0.9810
65,150,BTC: Buy KRAKEN -> Sell COINBASE,306235.34,-0.0886,0.9810
65,200,BNB: Buy KRAKEN -> Sell BINANCE,307538.44,0.2530,0.9810
66,50,BNB: Buy COINBASE -> Sell BINANCE,307555.52,-0.2489,0.9807
66,100,ETH: Buy COINBASE -> Sell BINANCE,309502.34,10.4984,0.9807
66,150,BNB: Buy COINBASE -> Sell KRAKEN,307657.01,-0.3798,0.9807
66,200,BNB: Buy BINANCE -> Sell COINBASE,309215.86,-2.0000,0.9807
67,50,BNB: Buy KRAKEN -> Sell COINBASE,307190.45,-0.1184,0.9804
67,100,BTC: Buy COINBASE -> Sell BINANCE,308789.38,-0.3995,0.9804
67,150,WAIT (Holding Capital),306433.38,-0.0100,0.9804
67,200,ETH: Buy BINANCE -> Sell COINBASE,307870.12,-0.4336,0.9804
68,50,BNB: Buy BINANCE -> Sell COINBASE,307529.66,0.2824,0.9801
68,100,ETH: Buy KRAKEN -> Sell BINANCE,309195.75,5.8787,0.9801
68,150,BNB: Buy COINBASE -> Sell KRAKEN,308070.36,-1.3887,0.9801
68,200,BNB: Buy BINANCE -> Sell KRAKEN,309686.63,0.8052,0.9801
69,50,BTC: Buy COINBASE -> Sell KRAKEN,307182.98,-0.8355,0.9798
69,100,ETH: Buy KRAKEN -> Sell COINBASE,308965.59,-0.0002,0.9798
69,150,ETH: Buy COINBASE -> Sell BINANCE,307800.83,-0.0566,0.9798
69,200,BTC: Buy BINANCE -> Sell KRAKEN,309022.73,10.6178,0.9798
70,50,ETH: Buy KRAKEN -> Sell COINBASE,307570.57,0.5564,0.9795
70,100,BTC: Buy BINANCE -> Sell KRAKEN,309787.59,0.1253,0.9795
70,150,BNB: Buy COINBASE -> Sell KRAKEN,307961.57,0.1933,0.9795
70,200,BTC: Buy COINBASE -> Sell BINANCE,309873.73,0.6497,0.9795
71,50,BTC: Buy KRAKEN -> Sell COINBASE,307795.81,-0.7348,0.9792
71,100,ETH: Buy BINANCE -> Sell KRAKEN,309141.83,-0.0457,0.9792
71,150,BNB: Buy KRAKEN -> Sell COINBASE,307701.48,-2.0000,0.9792
71,200,BNB: Buy COINBASE -> Sell KRAKEN,308376.76,-1.4144,0.9792
72,50,ETH: Buy KRAKEN -> Sell COINBASE,307472.10,-0.2059,0.9789
72,100,ETH: Buy BINANCE -> Sell COINBASE,308897.19,-0.1722,0.9789
72,150,ETH: Buy KRAKEN -> Sell BINANCE,306882.75,-0.8766,0.9789
72,200,BNB: Buy KRAKEN -> Sell COINBASE,308850.87,0.1273,0.9789
73,50,BTC: Buy BINANCE -> Sell KRAKEN,307739.82,-0.5362,0.9786
73,100,BNB: Buy BINANCE -> Sell KRAKEN,309469.94,-0.2187,0.9786
73,150,BNB: Buy KRAKEN -> Sell BINANCE,307930.13,-2.0000,0.9786
73,200,BNB: Buy COINBASE -> Sell KRAKEN,308971.16,-0.2683,0.9786
74,50,BNB: Buy KRAKEN -> Sell BINANCE,307928.28,-0.4587,0.9783
74,100,ETH: Buy BINANCE -> Sell KRAKEN,309734.36,0.6109,0.9783
74,150,BNB: Buy BINANCE -> Sell KRAKEN,307274.80,0.4482,0.9783
74,200,BNB: Buy KRAKEN -> Sell BINANCE,308491.35,-1.4498,0.9783
